sample	samples	AR	MED1	MED4	MED6	MED7	MED8	MED9	MED10	MED11	MED12	MED12L	MED13	MED13L	CDK8	CDK19	MED14	MED15	MED16	MED17	MED18	MED19	MED20	MED21	MED22	MED23	MED24	MED25	MED26	MED27	MED28	MED29	MED30	MED31
TCGA-XQ-A8TA-01	TCGA-XQ-A8TA-01	12.22	9.595	8.841	8.671	8.177	9.545	9.488	9.956	6.634	11.55	3.994	11.29	11.1	7.984	10.23	10.02	9.642	10.31	9.651	8.375	8.078	9.399	8.582	11.92	9.989	10.14	10.61	8.596	8.765	10.13	11.01	7.686	6.501
TCGA-HC-7211-01	TCGA-HC-7211-01	11.51	11.05	9.538	8.051	7.552	9.556	8.334	8.156	7.811	11.09	5.174	11.43	11.81	7.595	12.44	10.62	10.47	10.72	9.505	7.996	8.122	8.771	9.02	9.644	10.39	10.51	9.635	7.996	8.076	9.308	11.25	6.279	7.15
TCGA-CH-5761-01	TCGA-CH-5761-01	11.49	10.99	10	8.024	6.424	9.589	8.414	8.307	6.65	10.48	8.579	11.24	11.75	7.906	12.06	10.55	10.43	10.53	8.76	8.406	7.916	8.955	8.949	10.08	10.3	10.64	9.889	8.488	8.322	9.347	10.86	7.585	6.329
TCGA-2A-A8VT-01	TCGA-2A-A8VT-01	11.43	10.29	9.734	8.032	7.586	9.841	9.038	8.203	7.635	10.79	6.368	11.5	11.52	7.539	11.16	10.68	10.51	10.77	9.802	8.216	8.376	8.263	7.721	9.838	10.07	10.28	9.925	8.743	8.324	9.038	11.27	7.441	5.917
TCGA-EJ-7783-01	TCGA-EJ-7783-01	11.38	10.87	9.286	7.955	7.564	9.257	8.889	8.138	7.691	11.04	5.124	11.38	12.01	7.505	12.71	11.03	10.43	10.46	9.589	7.907	7.794	9.015	9.12	9.857	10.46	10.34	9.734	8.217	7.49	9.184	10.76	6.847	6.502
TCGA-HC-7748-01	TCGA-HC-7748-01	11.34	10.9	9.319	7.989	7.418	9.376	8.499	7.988	7.357	10.7	7.672	11.34	11.6	7.338	12.42	10.68	10.26	10.34	9.291	8.035	7.874	8.78	8.978	9.716	10.57	10.28	9.589	8.142	7.645	8.865	10.76	6.647	6.962
TCGA-EJ-7330-01	TCGA-EJ-7330-01	11.34	10.68	9.44	8.075	7.515	9.251	8.628	8.448	8.077	10.61	6.873	11.22	11.69	7.302	10.19	10.41	10.48	10.4	9.087	7.979	7.731	8.661	9.01	9.724	10.24	10.58	9.622	8.061	7.958	8.596	10.82	6.578	6.778
TCGA-CH-5751-01	TCGA-CH-5751-01	11.3	10.5	9.274	8.316	7.367	9.669	9.253	8.344	6.601	10.94	2.504	11.35	12.35	8.214	12.08	10.98	10.22	10.13	10.11	7.786	7.928	8.711	8.658	9.981	10.53	9.7	9.16	8.702	7.734	9.27	10.02	8.224	6.392
TCGA-EJ-7789-01	TCGA-EJ-7789-01	11.21	10.84	8.805	7.85	8.024	9.333	8.704	8.949	8.419	10.16	1.432	11.1	11.78	7.85	13.11	10.64	10.4	10.47	9.581	8.059	7.962	8.599	7.858	10.56	10.29	10.29	9.925	8.531	8.383	8.806	11.17	6.945	7.288
TCGA-CH-5752-01	TCGA-CH-5752-01	11.2	11.07	8.684	7.646	7.483	9.352	8.407	8.048	7.793	10.5	7.804	11.39	11.5	7.671	13.55	10.83	10.13	9.938	9.904	8.209	7.991	8.935	9.066	9.52	10.2	10.56	9.079	8.074	8.09	9.314	10.8	6.716	6.742
